Designator,Mid X,Mid Y,Layer,Rotation
C1,41.6951mm,14.2232mm,T,-90
R1,33.274mm,13.732mm,T,270
R2,42.688mm,18.288mm,T,-180
U1,37.495mm,14.29mm,T,-180
